Calendar,GPST,x-ecef(m),y-ecef(m),z-ecef(m),Q,ns,sdx(m),sdy(m),sdz(m),sdxy(m),sdyz(m),sdzx(m),age(s),ratio
2019/12/21,0:00:00,-1132913.633,6092525.571,1504632.04,5,6,3.8742,5.6991,2.6493,-3.7245,1.7375,-1.1664,0,0
2019/12/21,0:00:30,-1132914.797,6092526.478,1504633.848,5,5,5.8045,9.4544,8.2771,-6.8187,7.8755,-5.925,0,0
2019/12/21,0:01:00,-1132914.218,6092525.991,1504632.406,5,6,3.9211,5.747,2.6546,-3.792,1.737,-1.1834,0,0
2019/12/21,0:01:30,-1132914.071,6092525.211,1504632.32,5,7,2.7223,4.8582,2.3866,-2.3965,-0.7888,1.3838,0,0
2019/12/21,0:02:00,-1132914.327,6092525.793,1504632.203,5,7,2.734,4.8662,2.3879,-2.4166,-0.8182,1.3889,0,0
2019/12/21,0:02:30,-1132914.275,6092525.713,1504632.22,5,7,2.7457,4.8743,2.3892,-2.4367,-0.8462,1.3939,0,0
2019/12/21,0:03:00,-1132914.12,6092526.202,1504632.694,5,7,2.7576,4.8826,2.3905,-2.4568,-0.8729,1.3989,0,0
2019/12/21,0:03:30,-1132914.712,6092526.063,1504631.982,5,7,2.7696,4.891,2.3918,-2.4768,-0.8983,1.4038,0,0
2019/12/21,0:04:00,-1132914.43,6092526.337,1504632.562,5,7,2.7817,4.8997,2.393,-2.4969,-0.9225,1.4087,0,0
2019/12/21,0:04:30,-1132914.009,6092526.152,1504632.653,5,7,2.7939,4.9085,2.3941,-2.517,-0.9457,1.4135,0,0
2019/12/21,0:05:00,-1132914.328,6092526.22,1504632.636,5,7,2.8063,4.9175,2.3953,-2.5371,-0.9679,1.4182,0,0
2019/12/21,0:05:30,-1132914.101,6092525.478,1504632.91,5,7,2.8187,4.9267,2.3964,-2.5572,-0.9891,1.4229,0,0
2019/12/21,0:06:00,-1132914.074,6092526.179,1504632.418,5,7,2.8313,4.936,2.3974,-2.5773,-1.0095,1.4275,0,0
2019/12/21,0:06:30,-1132914.494,6092526.56,1504632.477,5,7,2.8439,4.9455,2.3985,-2.5973,-1.029,1.432,0,0
